Patches I haven't had time to look at up to and including -r723682:

r439692 | coolo | 2005-07-29 03:16:52 +1000 (Fri, 29 Jul 2005) | 2 lines
r441986 | binner | 2005-08-01 19:31:33 +1000 (Mon, 01 Aug 2005) | 2 lines
r459570 | mlaurent | 2005-09-11 23:11:42 +1000 (Sun, 11 Sep 2005) | 3 lines
r467474 | mlaurent | 2005-10-05 22:09:02 +1000 (Wed, 05 Oct 2005) | 2 lines
r473064 | mlaurent | 2005-10-23 00:55:39 +1000 (Sun, 23 Oct 2005) | 2 lines
r474252 | mlaurent | 2005-10-26 06:39:21 +1000 (Wed, 26 Oct 2005) | 2 lines
r474742 | mlaurent | 2005-10-27 19:06:31 +1000 (Thu, 27 Oct 2005) | 2 lines
r476569 | mlaurent | 2005-11-02 01:26:25 +1100 (Wed, 02 Nov 2005) | 2 lines
r478259 | mlaurent | 2005-11-06 21:57:12 +1100 (Sun, 06 Nov 2005) | 2 lines
r478607 | mlaurent | 2005-11-07 20:45:33 +1100 (Mon, 07 Nov 2005) | 2 lines
r478907 | mlaurent | 2005-11-08 21:49:45 +1100 (Tue, 08 Nov 2005) | 2 lines
r479025 | mlaurent | 2005-11-09 08:55:35 +1100 (Wed, 09 Nov 2005) | 2 lines
r494482 | mlaurent | 2006-01-05 21:36:02 +1100 (Thu, 05 Jan 2006) | 2 lines
r495180 | scripty | 2006-01-07 23:19:49 +1100 (Sat, 07 Jan 2006) | 1 line
r503148 | mlaurent | 2006-01-29 00:15:59 +1100 (Sun, 29 Jan 2006) | 3 lines
r506839 | mlaurent | 2006-02-08 05:07:04 +1100 (Wed, 08 Feb 2006) | 2 lines
r509617 | mlaurent | 2006-02-15 21:24:04 +1100 (Wed, 15 Feb 2006) | 2 lines
r509618 | mlaurent | 2006-02-15 21:26:33 +1100 (Wed, 15 Feb 2006) | 2 lines
r511224 | scripty | 2006-02-19 19:05:40 +1100 (Sun, 19 Feb 2006) | 1 line
r517816 | mlaurent | 2006-03-12 21:30:53 +1100 (Sun, 12 Mar 2006) | 2 lines
r519455 | mlaurent | 2006-03-17 19:48:17 +1100 (Fri, 17 Mar 2006) | 2 lines
r521413 | mlaurent | 2006-03-23 01:28:19 +1100 (Thu, 23 Mar 2006) | 2 lines
r528168 | mlaurent | 2006-04-10 21:19:42 +1000 (Mon, 10 Apr 2006) | 2 lines
r528185 | mlaurent | 2006-04-10 21:52:27 +1000 (Mon, 10 Apr 2006) | 2 lines
r528210 | mlaurent | 2006-04-10 22:32:26 +1000 (Mon, 10 Apr 2006) | 2 lines
r528222 | mlaurent | 2006-04-10 22:52:52 +1000 (Mon, 10 Apr 2006) | 2 lines
r528231 | mlaurent | 2006-04-10 23:27:58 +1000 (Mon, 10 Apr 2006) | 2 lines
r530101 | mlaurent | 2006-04-15 21:47:09 +1000 (Sat, 15 Apr 2006) | 2 lines
r543520 | mlaurent | 2006-05-22 19:49:26 +1000 (Mon, 22 May 2006) | 2 lines
